epoch,stage,train_loss,val_loss,val_accuracy,val_balanced_accuracy,seconds
1,head,3.6055545758125476,2.85643542509901,0.25738396624472576,0.2015525172501917,127.92342185974121
2,head,2.847837209199604,2.6322540995440904,0.3037974683544304,0.28221799859966756,125.02594017982483
3,head,2.545542603614635,2.5658446631566667,0.31705846895720313,0.2899582519623559,133.2582597732544
4,finetune,1.8154976204284152,1.4347430252037254,0.5394816154309825,0.5270743164724013,255.78730535507202
5,finetune,1.070984614720022,1.0321071897377947,0.6359252561784208,0.621074365670809,255.03528809547424
6,finetune,0.8446667893667866,0.9796652892686432,0.6431585292344786,0.5931366854759468,263.9476408958435
7,finetune,0.720127390658945,0.8888543833085325,0.6738999397227246,0.6475860322987546,259.1658308506012
8,finetune,0.575352311358416,0.7877299593398914,0.7118746232670283,0.716261656719933,244.5623962879181
9,finetune,0.5405671831718961,0.7861988085932298,0.7106690777576854,0.6922966112774595,244.7742428779602
10,finetune,0.47133581502993305,0.71943174641649,0.7359855334538878,0.6655088413638345,249.63468098640442
11,finetune,0.45939090131817006,0.7504161003395475,0.7371910789632309,0.6811847523201833,841.7699229717255
12,finetune,0.43225911043640364,0.7750220361102267,0.7239300783604581,0.6862620279856942,272.11521100997925
